customer_id,segment_name,segment_description,total_spent,total_transactions,avg_quantity_per_transaction,recency_days,num_returns,avg_sentiment_score,is_churned,customer_age,customer_gender,customer_location_region,assigned_year
CUST0851,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2296266.51,7,2.0,215,1,1.0,0,29,Male,Nakuru,2023
CUST0351,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",3373771.54,4,2.12,8,3,1.0,0,58,Female,Nairobi,2023
CUST0845,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1897471.21,7,1.44,245,2,0.5,1,42,Female,Kisumu,2023
CUST0934,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",3170861.31,4,2.07,226,3,0.2,0,45,Other,Nakuru,2023
CUST0828,High-Value,Customers with high total spending and frequent purchases.,2825625.2,7,1.9,15,4,0.54,0,43,Male,Kisumu,2023
CUST0331,New,"Recently acquired customers, often with 1-2 purchases.",1110115.95,5,2.12,3,3,0.33,0,43,Female,Kisumu,2023
CUST0475,Promising,Newer customers with high initial engagement or spending potential.,2755311.55,5,1.74,71,2,0.78,0,70,Male,Nakuru,2023
CUST0102,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1421039.76,3,2.0,107,3,0.33,0,62,Male,Nairobi,2023
CUST0057,New,"Recently acquired customers, often with 1-2 purchases.",5268011.38,13,1.54,255,7,0.52,0,52,Female,Mombasa,2023
CUST0447,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1585909.1,3,1.56,237,0,1.0,1,33,Other,Eldoret,2023
CUST0336,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2770752.75,5,1.88,14,2,0.33,1,56,Other,Nairobi,2023
CUST0989,High-Value,Customers with high total spending and frequent purchases.,2597223.32,8,1.45,106,2,0.33,0,49,Female,Nakuru,2023
CUST0988,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2185170.11,5,1.87,526,2,0.2,1,58,Other,Nairobi,2023
CUST0655,Loyal,"Consistent purchasers, frequent interactions.",1864023.25,6,1.93,7,0,0.67,0,47,Other,Kisumu,2023
CUST0166,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2189810.37,5,1.53,379,2,1.0,1,24,Female,Eldoret,2023
CUST0009,High-Value,Customers with high total spending and frequent purchases.,1628885.28,6,1.85,14,1,0.67,0,75,Male,Eldoret,2023
CUST0438,High-Value,Customers with high total spending and frequent purchases.,7168590.29,14,1.81,2,7,0.62,0,71,Other,Kisumu,2023
CUST0041,Loyal,"Consistent purchasers, frequent interactions.",4059998.66,10,1.52,16,5,0.5,0,26,Female,Nakuru,2023
CUST0232,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4854554.96,8,2.03,108,6,0.6,0,22,Other,Kisumu,2023
CUST0366,High-Value,Customers with high total spending and frequent purchases.,3785343.36,6,1.62,14,3,0.5,1,34,Other,Kisumu,2023
CUST0039,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",698217.49,2,1.67,187,0,1.0,1,71,Male,Nairobi,2023
CUST0218,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1461625.29,6,1.6,199,3,0.5,1,70,Other,Mombasa,2023
CUST0905,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4980656.55,7,2.36,129,3,1.0,0,56,Other,Nairobi,2023
CUST0105,High-Value,Customers with high total spending and frequent purchases.,4103117.19,6,1.6,24,2,1.0,1,70,Female,Kisumu,2023
CUST0422,High-Value,Customers with high total spending and frequent purchases.,5152472.09,10,2.14,45,3,0.71,0,47,Male,Eldoret,2023
CUST0242,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4320336.71,7,2.19,124,1,0.82,0,39,Other,Kisumu,2023
CUST0170,High-Value,Customers with high total spending and frequent purchases.,3528202.45,9,2.07,51,1,0.8,0,40,Male,Nakuru,2023
CUST0736,New,"Recently acquired customers, often with 1-2 purchases.",670211.63,2,1.83,172,1,1.0,0,69,Male,Nakuru,2023
CUST0919,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2779048.4,5,2.06,73,4,0.33,0,60,Male,Eldoret,2023
CUST0590,Loyal,"Consistent purchasers, frequent interactions.",2216831.28,5,2.15,95,1,0.5,0,50,Male,Mombasa,2023
CUST0758,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2563510.33,7,1.41,62,3,0.33,0,26,Female,Nakuru,2023
CUST0914,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2779553.43,6,1.83,108,3,0.6,1,26,Male,Nakuru,2023
CUST0416,Promising,Newer customers with high initial engagement or spending potential.,2348170.12,5,2.45,0,1,0.71,0,67,Other,Eldoret,2023
CUST0398,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2010150.69,5,1.65,113,4,0.27,0,48,Female,Nakuru,2023
CUST0188,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2144953.22,7,1.94,147,6,0.09,1,46,Other,Nakuru,2023
CUST0320,High-Value,Customers with high total spending and frequent purchases.,2353282.97,7,1.81,22,1,0.71,0,58,Female,Kisumu,2023
CUST0933,Promising,Newer customers with high initial engagement or spending potential.,1134645.68,5,1.36,43,2,0.33,0,72,Female,Kisumu,2023
CUST0229,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1486312.73,2,2.0,390,1,0.5,0,57,Female,Nairobi,2024
CUST0686,High-Value,Customers with high total spending and frequent purchases.,3156409.25,7,1.87,160,1,0.75,0,50,Female,Nairobi,2023
CUST0226,Loyal,"Consistent purchasers, frequent interactions.",1849655.25,4,1.42,4,1,0.67,0,53,Other,Nairobi,2023
CUST0437,New,"Recently acquired customers, often with 1-2 purchases.",4320574.1,8,1.82,134,2,0.82,0,52,Male,Mombasa,2023
CUST0679,New,"Recently acquired customers, often with 1-2 purchases.",917713.52,3,2.4,153,2,-0.5,0,30,Male,Nakuru,2023
CUST0376,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1180694.18,5,1.89,253,3,-0.33,1,71,Female,Mombasa,2023
CUST0270,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4407146.61,8,1.96,104,3,0.53,1,20,Male,Kisumu,2023
CUST0642,Promising,Newer customers with high initial engagement or spending potential.,378601.41,4,1.5,2,2,1.0,0,48,Male,Nairobi,2024
CUST0571,High-Value,Customers with high total spending and frequent purchases.,3435658.99,10,2.09,26,1,0.8,0,30,Other,Nakuru,2023
CUST0944,Loyal,"Consistent purchasers, frequent interactions.",1545620.48,4,2.09,88,2,1.0,0,57,Other,Eldoret,2023
CUST0593,Promising,Newer customers with high initial engagement or spending potential.,1673805.89,4,1.92,83,2,0.56,0,34,Other,Mombasa,2023
CUST0976,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2864979.14,5,2.5,278,6,0.5,1,64,Female,Eldoret,2023
CUST0746,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4209302.12,7,2.19,61,3,1.0,0,42,Other,Nakuru,2023
CUST0464,Promising,Newer customers with high initial engagement or spending potential.,572312.97,2,1.83,42,1,1.0,0,49,Female,Nakuru,2023
CUST0346,Promising,Newer customers with high initial engagement or spending potential.,2554647.39,5,2.62,27,2,0.6,0,18,Male,Kisumu,2023
CUST0122,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1829155.08,3,1.83,201,4,-0.2,0,33,Female,Nairobi,2023
CUST0511,High-Value,Customers with high total spending and frequent purchases.,2642494.15,6,2.0,36,1,0.8,0,32,Female,Kisumu,2023
CUST0365,High-Value,Customers with high total spending and frequent purchases.,3631445.73,7,2.05,0,2,0.43,0,37,Female,Nakuru,2023
CUST0492,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2724105.21,4,1.93,138,1,1.0,1,44,Other,Eldoret,2023
CUST0452,Loyal,"Consistent purchasers, frequent interactions.",2089121.52,5,1.69,127,1,1.0,0,54,Male,Nakuru,2023
CUST0675,Promising,Newer customers with high initial engagement or spending potential.,1066185.66,3,1.44,130,0,1.0,0,29,Male,Nakuru,2023
CUST0682,Loyal,"Consistent purchasers, frequent interactions.",2379724.63,4,1.8,27,1,0.71,0,35,Female,Nairobi,2023
CUST0922,New,"Recently acquired customers, often with 1-2 purchases.",2083536.74,6,1.44,103,1,1.0,0,30,Other,Eldoret,2023
CUST0221,Loyal,"Consistent purchasers, frequent interactions.",2479535.37,5,2.0,33,2,0.75,0,22,Other,Nakuru,2023
CUST0842,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1499209.91,4,2.0,192,5,0.27,1,40,Other,Kisumu,2023
CUST0136,Loyal,"Consistent purchasers, frequent interactions.",3444528.18,9,1.93,2,5,0.62,1,32,Male,Nakuru,2023
CUST0622,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4581820.95,8,2.18,159,3,0.88,0,57,Other,Kisumu,2023
CUST0847,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1779296.13,4,2.78,297,0,1.0,1,72,Male,Kisumu,2023
CUST0391,Loyal,"Consistent purchasers, frequent interactions.",897933.08,5,1.43,123,1,1.0,0,27,Female,Nakuru,2023
CUST0289,Loyal,"Consistent purchasers, frequent interactions.",5341517.38,6,2.48,20,3,0.56,0,20,Other,Nakuru,2023
CUST0862,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1776058.67,5,2.18,65,4,0.6,1,63,Other,Mombasa,2023
CUST0257,Promising,Newer customers with high initial engagement or spending potential.,1539725.53,3,2.0,11,0,1.0,0,41,Male,Nakuru,2023
CUST0910,New,"Recently acquired customers, often with 1-2 purchases.",3084668.94,5,2.17,33,2,0.78,1,61,Other,Eldoret,2023
CUST0958,High-Value,Customers with high total spending and frequent purchases.,6749802.03,11,1.72,6,9,0.14,0,60,Male,Nairobi,2023
CUST0972,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2282656.96,4,2.0,132,1,-1.0,1,32,Male,Mombasa,2023
CUST0162,Loyal,"Consistent purchasers, frequent interactions.",7198755.91,13,1.72,2,7,0.7,0,23,Male,Nakuru,2023
CUST0498,Promising,Newer customers with high initial engagement or spending potential.,1385123.49,5,1.41,0,1,1.0,0,34,Female,Nairobi,2023
CUST0567,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",792186.07,2,1.83,419,0,1.0,0,63,Other,Eldoret,2023
CUST0144,Loyal,"Consistent purchasers, frequent interactions.",4022620.73,7,1.91,43,7,0.4,0,19,Female,Mombasa,2023
CUST0403,High-Value,Customers with high total spending and frequent purchases.,2959555.27,8,1.69,53,1,1.0,0,54,Other,Eldoret,2023
CUST0759,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2115962.76,8,1.75,77,5,0.54,1,26,Other,Kisumu,2023
CUST0308,New,"Recently acquired customers, often with 1-2 purchases.",1443940.63,2,2.44,91,2,0.5,0,47,Male,Nairobi,2023
CUST0649,Loyal,"Consistent purchasers, frequent interactions.",2791458.42,5,1.44,109,1,1.0,0,57,Male,Kisumu,2023
CUST0979,High-Value,Customers with high total spending and frequent purchases.,2584255.66,7,2.19,0,0,1.0,0,75,Other,Kisumu,2023
CUST0621,New,"Recently acquired customers, often with 1-2 purchases.",939429.21,5,1.36,218,1,1.0,0,75,Other,Mombasa,2023
CUST0071,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4444711.75,7,1.89,65,1,0.62,1,30,Other,Kisumu,2023
CUST0410,Loyal,"Consistent purchasers, frequent interactions.",2184967.76,3,2.21,103,0,1.0,0,20,Male,Eldoret,2023
CUST0444,High-Value,Customers with high total spending and frequent purchases.,3520407.82,7,1.42,33,2,0.8,0,67,Other,Mombasa,2023
CUST0406,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1055098.61,4,1.38,260,2,1.0,1,42,Other,Eldoret,2023
CUST0632,High-Value,Customers with high total spending and frequent purchases.,1314313.33,10,1.6,23,2,0.67,1,35,Female,Mombasa,2023
CUST0714,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4288142.25,7,1.9,69,5,0.6,1,61,Other,Nairobi,2023
CUST0457,Loyal,"Consistent purchasers, frequent interactions.",2713817.37,8,1.81,64,2,0.67,0,24,Female,Eldoret,2023
CUST0067,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1649040.02,4,1.67,81,3,0.43,0,24,Female,Eldoret,2023
CUST0829,High-Value,Customers with high total spending and frequent purchases.,2544453.59,10,1.82,2,4,0.33,0,44,Female,Eldoret,2023
CUST0818,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1479735.97,6,2.17,258,4,0.33,1,47,Male,Nakuru,2023
CUST0431,Loyal,"Consistent purchasers, frequent interactions.",3665935.26,7,2.31,9,0,1.0,0,53,Male,Kisumu,2023
CUST0973,Loyal,"Consistent purchasers, frequent interactions.",1499095.44,6,1.36,24,0,1.0,0,59,Other,Eldoret,2023
CUST0205,High-Value,Customers with high total spending and frequent purchases.,1761557.1,6,1.44,0,4,1.0,1,32,Male,Kisumu,2023
CUST0161,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1123336.58,4,1.38,433,0,1.0,0,62,Female,Kisumu,2023
CUST0527,Loyal,"Consistent purchasers, frequent interactions.",5479099.18,10,1.87,30,5,0.56,0,47,Other,Nakuru,2023
CUST0913,High-Value,Customers with high total spending and frequent purchases.,4569740.25,7,2.09,9,7,0.33,1,28,Other,Kisumu,2023
CUST0948,High-Value,Customers with high total spending and frequent purchases.,2274493.71,5,1.63,125,2,1.0,0,40,Female,Kisumu,2023
CUST0950,High-Value,Customers with high total spending and frequent purchases.,4023329.75,6,2.0,55,1,1.0,0,43,Female,Eldoret,2023
CUST0836,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2914240.69,3,3.0,213,0,1.0,0,41,Female,Nakuru,2023
CUST0134,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4399944.47,9,1.85,71,7,0.25,1,49,Other,Kisumu,2023
CUST0184,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4167158.37,7,1.93,227,6,0.07,1,39,Male,Eldoret,2023
CUST0639,High-Value,Customers with high total spending and frequent purchases.,3925901.08,8,1.74,1,3,0.71,1,43,Male,Nakuru,2023
CUST0640,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1979650.0,4,1.73,156,3,0.75,1,24,Female,Nairobi,2023
CUST0385,New,"Recently acquired customers, often with 1-2 purchases.",1075904.85,3,1.91,352,1,1.0,0,37,Female,Eldoret,2023
CUST0737,Promising,Newer customers with high initial engagement or spending potential.,2428589.94,6,1.72,156,1,0.83,0,65,Female,Nairobi,2023
CUST0596,High-Value,Customers with high total spending and frequent purchases.,2802560.12,6,2.24,17,1,1.0,0,28,Other,Nairobi,2023
CUST0993,High-Value,Customers with high total spending and frequent purchases.,3974640.77,6,1.7,26,2,1.0,0,38,Female,Kisumu,2023
CUST0780,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",5046234.62,11,1.83,308,3,1.0,0,20,Male,Nairobi,2023
CUST0697,High-Value,Customers with high total spending and frequent purchases.,4891692.71,7,1.84,34,1,0.86,1,53,Other,Mombasa,2023
CUST0355,New,"Recently acquired customers, often with 1-2 purchases.",3613818.4,6,1.94,151,2,0.4,1,72,Other,Mombasa,2023
CUST0787,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4294675.91,7,2.0,170,3,0.64,0,74,Male,Nairobi,2023
CUST0778,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2680631.21,7,1.89,214,2,0.33,0,62,Other,Nakuru,2023
CUST0121,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1698192.72,5,1.43,75,4,0.11,0,24,Male,Kisumu,2023
CUST0191,High-Value,Customers with high total spending and frequent purchases.,3084769.98,6,1.81,19,2,0.78,0,23,Other,Nairobi,2023
CUST0099,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",3257125.97,6,2.0,291,3,0.43,0,52,Female,Nairobi,2023
CUST0323,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1723130.41,5,1.67,93,0,0.71,1,31,Male,Nairobi,2023
CUST0646,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4239230.2,10,1.97,144,6,0.62,0,62,Female,Nakuru,2023
CUST0867,Loyal,"Consistent purchasers, frequent interactions.",5191662.78,8,1.76,10,4,0.73,1,34,Other,Mombasa,2023
CUST0666,Loyal,"Consistent purchasers, frequent interactions.",1088732.06,6,1.54,21,0,1.0,0,52,Male,Nairobi,2023
CUST0947,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4294516.53,8,1.66,102,1,0.9,1,59,Male,Kisumu,2023
CUST0700,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",3492178.67,8,1.74,186,5,0.38,1,39,Female,Kisumu,2023
CUST0445,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2204460.48,7,1.48,92,1,0.5,0,59,Female,Nakuru,2023
CUST0725,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",412923.94,2,1.0,411,0,1.0,1,24,Female,Nairobi,2023
CUST0402,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",3975964.44,6,1.95,79,4,0.6,0,35,Female,Kisumu,2023
CUST0750,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2602629.4,7,1.95,215,3,0.82,0,27,Female,Kisumu,2023
CUST0872,Promising,Newer customers with high initial engagement or spending potential.,1857408.26,5,1.73,24,1,0.78,0,60,Female,Nairobi,2023
CUST0269,Promising,Newer customers with high initial engagement or spending potential.,2650572.33,5,2.18,13,0,1.0,0,53,Male,Nairobi,2023
CUST0352,High-Value,Customers with high total spending and frequent purchases.,4711719.25,10,1.64,16,3,0.6,0,54,Male,Eldoret,2023
CUST0022,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",6223599.66,11,2.0,61,4,0.68,1,33,Other,Nakuru,2023
CUST0395,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2729535.67,6,2.06,124,1,0.25,1,28,Female,Nakuru,2023
CUST0124,High-Value,Customers with high total spending and frequent purchases.,5475611.08,8,1.67,7,4,0.78,0,58,Female,Eldoret,2023
CUST0101,High-Value,Customers with high total spending and frequent purchases.,4301700.31,7,1.78,31,2,1.0,0,62,Male,Mombasa,2023
CUST0176,High-Value,Customers with high total spending and frequent purchases.,3426111.26,7,1.91,21,3,0.64,0,44,Other,Nakuru,2023
CUST0404,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2369373.49,7,2.0,91,3,0.57,0,44,Male,Mombasa,2023
CUST0582,Promising,Newer customers with high initial engagement or spending potential.,1982302.66,7,1.78,85,2,1.0,0,63,Female,Kisumu,2023
CUST0113,Loyal,"Consistent purchasers, frequent interactions.",1896362.21,7,1.44,53,0,1.0,0,74,Other,Nakuru,2023
CUST0252,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2754116.8,5,2.07,48,3,-0.14,0,19,Female,Nairobi,2023
CUST0729,Loyal,"Consistent purchasers, frequent interactions.",2180940.23,5,2.08,69,2,1.0,0,20,Other,Nairobi,2023
CUST0554,High-Value,Customers with high total spending and frequent purchases.,3769759.02,6,1.88,17,4,0.85,0,29,Female,Nakuru,2023
CUST0611,High-Value,Customers with high total spending and frequent purchases.,2642687.87,4,1.64,104,0,1.0,0,58,Other,Nakuru,2023
CUST0025,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1313853.29,4,1.7,173,1,1.0,1,58,Female,Mombasa,2023
CUST0100,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2098754.94,5,1.71,169,1,0.71,1,65,Other,Nakuru,2023
CUST0809,High-Value,Customers with high total spending and frequent purchases.,2297418.95,7,1.85,50,3,0.56,0,61,Male,Nakuru,2023
CUST0214,Loyal,"Consistent purchasers, frequent interactions.",3053816.99,5,1.88,1,1,0.82,0,66,Male,Nakuru,2023
CUST0580,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",3147898.24,8,2.0,83,4,0.6,0,26,Other,Eldoret,2023
CUST0741,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",3443699.39,4,2.45,123,4,0.14,0,42,Other,Nakuru,2023
CUST0668,Loyal,"Consistent purchasers, frequent interactions.",1066949.25,5,1.92,16,0,1.0,0,29,Female,Nakuru,2023
CUST0163,High-Value,Customers with high total spending and frequent purchases.,3117090.4,7,1.76,2,2,0.64,0,30,Other,Kisumu,2023
CUST0753,New,"Recently acquired customers, often with 1-2 purchases.",1340455.87,4,1.91,334,1,1.0,1,60,Male,Eldoret,2023
CUST0822,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4428351.31,9,1.79,97,4,0.8,0,37,Male,Nakuru,2023
CUST0994,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2611803.09,7,2.0,72,3,1.0,1,69,Female,Mombasa,2023
CUST0771,Promising,Newer customers with high initial engagement or spending potential.,2252889.68,5,1.81,45,2,1.0,0,68,Female,Nakuru,2023
CUST0443,Loyal,"Consistent purchasers, frequent interactions.",2012411.71,5,1.85,63,1,0.67,0,67,Male,Nairobi,2023
CUST0768,High-Value,Customers with high total spending and frequent purchases.,2299831.07,6,1.87,17,4,0.14,0,74,Other,Kisumu,2023
CUST0723,Loyal,"Consistent purchasers, frequent interactions.",2517332.78,5,1.74,26,0,0.75,0,72,Female,Nairobi,2024
CUST0210,High-Value,Customers with high total spending and frequent purchases.,5410838.43,9,2.4,45,6,0.38,0,41,Female,Nakuru,2023
CUST0906,New,"Recently acquired customers, often with 1-2 purchases.",1780999.06,3,2.5,357,2,0.2,1,60,Male,Kisumu,2023
CUST0091,High-Value,Customers with high total spending and frequent purchases.,2719915.05,7,1.89,16,4,0.43,0,49,Female,Eldoret,2023
CUST0442,New,"Recently acquired customers, often with 1-2 purchases.",5035314.77,10,1.97,130,7,0.07,1,18,Male,Nakuru,2023
CUST0328,High-Value,Customers with high total spending and frequent purchases.,499950.71,3,1.17,108,1,1.0,0,28,Female,Eldoret,2023
CUST0106,High-Value,Customers with high total spending and frequent purchases.,2587348.02,7,1.53,50,2,0.75,0,52,Other,Eldoret,2023
CUST0699,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1322060.31,4,1.4,268,2,0.0,1,58,Female,Kisumu,2023
CUST0568,High-Value,Customers with high total spending and frequent purchases.,3651643.16,8,1.55,35,1,1.0,0,67,Other,Nakuru,2023
CUST0855,New,"Recently acquired customers, often with 1-2 purchases.",2155746.15,4,2.36,15,3,1.0,0,54,Male,Mombasa,2023
CUST0785,High-Value,Customers with high total spending and frequent purchases.,5026710.83,7,1.89,39,1,0.86,0,31,Other,Kisumu,2023
CUST0982,High-Value,Customers with high total spending and frequent purchases.,1991970.81,6,1.65,1,3,0.5,0,33,Male,Nairobi,2023
